Role,Skills
Data Scientist,"Python Machine Learning Statistics Pandas NumPy"
ML Engineer,"Python TensorFlow Deep Learning AI"
Software Engineer,"Python Java DSA Git"
DevOps Engineer,"Python Cloud Docker Kubernetes Automation Linux"
Cloud Engineer,"AWS Cloud Networking Linux"
Cloud Architect,"AWS Azure Cloud Security Networking"
Cybersecurity Analyst,"Security Networking Linux Python"
Backend Developer,"Python APIs Databases Flask Django"
Data Analyst,"Python Excel SQL Pandas"
Site Reliability Engineer,"Cloud Linux Automation Docker Kubernetes"
